姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿张祥安,男,1964年10月,安徽和县,硕士,安徽省滁州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4321.htm,人民网
﻿孙正东,男,1963年03月,安徽灵璧,博士,安徽省阜阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16272.htm,人民网
﻿史翔,男,1963年11月,安徽广德,研究生,安徽省宿州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4325.htm,人民网
﻿杨军,男,1965年10月,吉林敦化,博士,安徽省宿州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16275.htm,人民网
﻿韩军,男,1964年01月,安徽阜阳,硕士,安徽省宣城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4327.htm,人民网
﻿张冬云,男,1964年11月,安徽含山,硕士,安徽省宣城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16117.htm,人民网
﻿毕小彬,男,1966年03月,安徽怀宁,研究生,安徽省六安市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4329.htm,人民网
﻿汪一光,男,1965年03月,安徽桐城,,安徽省亳州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5889.htm,人民网
﻿杜延安,男,1966年11月,安徽砀山,学士,安徽省亳州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15590.htm,人民网
﻿赵馨群,女,1963年04月,安徽巢湖,学士,安徽省池州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4333.htm,人民网
﻿雍成瀚,男,1964年12月,安徽含山,硕士,安徽省池州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15048.htm,人民网
﻿尤权,男,1954年01月,河北卢龙,硕士,福建省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4917.htm,人民网
﻿于伟国,男,1955年10月,山东威海,学士,福建省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage6144.htm,人民网
﻿张昌平,男,1954年04月,湖北孝感,硕士,福建省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4919.htm,人民网
﻿倪岳峰,男,1964年09月,安徽岳西,博士,福建省委副书记、福州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6152.htm,人民网
﻿张志南,男,1960年10月,福建龙岩,研究生,福建省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6149.htm,人民网
﻿雷春美,女,1959年01月,福建福安,硕士,福建省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage12177.htm,人民网
﻿王宁,男,1961年04月,湖南湘乡,学士,福建省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage15417.htm,人民网
﻿高翔,男,1963年10月,四川南部,博士,福建省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage15574.htm,人民网
﻿刘学新,男,1963年12月,山东泰安,硕士,福建省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16218.htm,人民网
﻿裴金佳,男,1963年08月,福建安溪,学士,福建省委常委、厦门市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4346.htm,人民网
﻿梁建勇,男,1959年09月,山西阳城,硕士,福建省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4338.htm,人民网
﻿周联清,男,1962年10月,福建大田,本科,福建省委常委、副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5039.htm,人民网
﻿王洪祥,男,1963年07月,湖北仙桃,博士,福建省委常委、省委政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16622.htm,人民网
﻿洪捷序,男,1960年01月,福建南安,学士,福建省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6153.htm,人民网
﻿黄琪玉,男,1957年08月,福建上杭,硕士,福建省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage14864.htm,人民网
﻿王惠敏,男,1958年07月,山东莒南,,福建省副省长，省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage12180.htm,人民网
﻿李德金,男,1962年12月,福建莆田,硕士,福建省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage12128.htm,人民网
﻿尤猛军,男,1962年07月,福建永春,,福建省福州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15848.htm,人民网
﻿庄稼汉,男,1963年10月,福建惠安,本科,福建省厦门市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12196.htm,人民网
﻿林宝金,男,1964年03月,福建平和,研究生,福建省莆田市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4347.htm,人民网
﻿李建辉,男,1963年11月,福建厦门,研究生,福建省莆田市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15930.htm,人民网
﻿杜源生,男,1961年08月,福建罗源,学士,福建省三明市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4341.htm,人民网
﻿余红胜,男,1970年10月,安徽霍邱,博士,福建省三明市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15835.htm,人民网
﻿郑新聪,男,1963年11月,福建仙游,,福建省泉州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4343.htm,人民网
﻿康涛,男,1963年04月,江苏镇江,研究生,福建省泉州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14843.htm,人民网
﻿檀云坤,男,1963年01月,福建永泰,博士,福建省漳州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4345.htm,人民网
﻿刘远,男,1963年03月,福建长汀,学士,福建省漳州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16396.htm,人民网
﻿袁毅,男,1964年03月,甘肃会宁,博士,福建省南平市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16276.htm,人民网
﻿许维泽,男,1961年12月,福建南安,本科,福建省南平市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15931.htm,人民网
﻿林国耀,男,1966年01月,福建仙游,本科,福建省龙岩市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15813.htm,人民网
﻿林兴禄,男,1962年12月,福建龙岩,研究生,福建省龙岩市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16391.htm,人民网
﻿隋军,女,1961年09月,山东广饶,本科,福建省宁德市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4351.htm,人民网
﻿郭锡文,男,1968年01月,福建福清,硕士,福建省宁德市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16397.htm,人民网
﻿鹿心社,男,1956年11月,山东巨野,学士,江西省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4921.htm,人民网
﻿刘奇,男,1957年09月,山东沂水,博士,江西省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage4282.htm,人民网
﻿黄跃金,男,1953年04月,辽宁凤城,学士,江西省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4922.htm,人民网
﻿姚增科,男,1960年01月,山西临猗,学士,江西省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage12144.htm,人民网
﻿李炳军,男,1963年02月,山东临朐,学士,江西省委常委，赣州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6172.htm,人民网
﻿孙新阳,男,1964年06月,陕西富平,硕士,江西省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6384.htm,人民网
﻿赵爱明,女,1961年10月,河南安阳,博士,江西省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6169.htm,人民网
﻿毛伟明,男,1961年05月,浙江衢州,学士,江西省委常委，副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15023.htm,人民网
﻿尹建业,男,1963年12月,云南大理,硕士,江西省委常委、省委政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6452.htm,人民网
﻿殷美根,男,1963年08月,江西南昌,硕士,江西省委常委、南昌市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4358.htm,人民网
﻿陈兴超,男,1963年02月,浙江诸暨,硕士,江西省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4362.htm,人民网
﻿刘捷,男,1970年01月,江苏丹阳,博士,江西省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4360.htm,人民网
﻿赵力平,男,1961年04月,山东梁山,学士,江西省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16229.htm,人民网
﻿谢茹,女,1968年07月,浙江奉化,博士,江西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6173.htm,人民网
﻿李贻煌,男,1962年10月,福建晋江,研究生,江西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6179.htm,人民网
﻿郑为文,男,1958年03月,安徽歙县,本科,江西省副省长、省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage7010.htm,人民网
﻿李利,男,1962年09月,江西信丰,硕士,江西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16283.htm,人民网
﻿吴晓军,男,1966年01月,江西泰和,博士,江西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16573.htm,人民网
﻿郭安,男,1962年10月,江西信丰,硕士,江西省南昌市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4353.htm,人民网
﻿梅亦,女,1970年04月,江西南昌,硕士,江西省景德镇市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15905.htm,人民网
﻿李小豹,男,1968年08月,湖南永兴,博士,江西省萍乡市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4357.htm,人民网
﻿李江河,男,,,硕士,江西省萍乡市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15553.htm,人民网
﻿杨伟东,男,1964年01月,安徽泗县,学士,江西省九江市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15391.htm,人民网
﻿林彬杨,男,1963年09月,江西上饶,硕士,江西省九江市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15102.htm,人民网
﻿蒋斌,男,1968年01月,安徽含山,本科,江西省新余市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4369.htm,人民网
﻿董晓健,男,,,博士,江西省新余市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12198.htm,人民网
﻿曹淑敏,女,1966年07月,河北束鹿,硕士,江西省鹰潭市委书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage15999.htm,人民网
﻿曾文明,男,1963年02月,江苏江都,学士,江西省赣州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16145.htm,人民网
﻿胡世忠,男,1963年11月,江苏武进,硕士,江西省吉安市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4367.htm,人民网
﻿邓保生,男,1964年10月,江西宁都,博士,江西省宜春市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4368.htm,人民网
﻿张小平,男,1963年06月,江西分宜,研究生,江西省宜春市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16161.htm,人民网
﻿张鸿星,男,1967年08月,江西婺源,硕士,江西省抚州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12230.htm,人民网
﻿颜赣辉,男,1962年02月,江西崇仁,学士,江西省上饶市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4355.htm,人民网
﻿刘家义,男,1956年08月,重庆开县,博士,山东省委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16618.htm,人民网
﻿姜异康,男,1953年01月,山东招远,硕士,山东省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4923.htm,人民网
﻿刘伟,男,1958年03月,山东滕州,硕士,山东省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4925.htm,人民网
﻿龚正,男,1960年03月,江苏苏州,博士,山东省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage4280.htm,人民网
﻿王文涛,男,1964年05月,江苏南通,学士,山东省委副书记、济南市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4352.htm,人民网
﻿李群,男,1962年02月,山东文登,博士,山东省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage4376.htm,人民网
﻿杨东奇,男,1962年09月,山东蓬莱,博士,山东省委常委，组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5728.htm,人民网
﻿孙守刚,男,1965年08月,山东利津,硕士,山东省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6193.htm,人民网
﻿张江汀,男,1961年10月,山东昌邑,研究生,山东省委常委、省委政法委书记，青岛市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4384.htm,人民网
﻿于晓明,男,1957年07月,山东海阳,学士,山东省委常委、省委秘书长，省人大常委会副主任,http://ldzl.people.com.cn/dfzlk/front/personPage4406.htm,人民网
﻿吴翠云,女,1958年09月,山东淄博,研究生,山东省委常委、统战部部长，省政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage4400.htm,人民网
﻿陈辐宽,男,,,,山东省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16207.htm,人民网
﻿王随莲,女,1962年11月,山东鄄城,博士,山东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6201.htm,人民网
﻿王书坚,男,1962年05月,山东武城,博士,山东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage12238.htm,人民网
﻿季缃绮,男,1960年10月,山东费县,博士,山东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6205.htm,人民网
﻿孙立成,男,1962年10月,河北交河,学士,山东省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage12182.htm,人民网
﻿王忠林,男,1962年08月,山东费县,博士,山东省济南市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage4403.htm,人民网
﻿孟凡利,男,1965年09月,山东临沂,博士,山东省青岛市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage4385.htm,人民网
﻿王浩,男,1963年10月,山东单县,本科,山东省淄博市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12193.htm,人民网
﻿周连华,男,1961年10月,山东东营,研究生,山东省淄博市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12195.htm,人民网
﻿李同道,男,1964年04月,山东寿光,博士,山东省枣庄市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4395.htm,人民网
﻿李峰,男,1961年01月,山东淄博,,山东省枣庄市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12202.htm,人民网
﻿申长友,男,1969年01月,山东茌平,博士,山东省东营市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4383.htm,人民网
﻿赵豪志,男,1965年05月,山东东明,硕士,山东省东营市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12178.htm,人民网
﻿刘曙光,男,1962年11月,山东文登,学士,山东省潍坊市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4387.htm,人民网
﻿李宽端,男,1963年10月,山东青岛,硕士,山东省潍坊市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16403.htm,人民网
﻿孙述涛,男,1965年01月,山东高密,博士,山东省威海市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4388.htm,人民网
﻿王艺华,男,1963年01月,山东阳谷,博士,山东省济宁市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16401.htm,人民网
﻿傅明先,男,1964年11月,山东青岛,研究生,山东省济宁市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15363.htm,人民网
﻿王云鹏,男,1961年11月,山东巨野,研究生,山东省泰安市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4393.htm,人民网
﻿李希信,男,1962年11月,山东临邑,学士,山东省泰安市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15693.htm,人民网
﻿刘星泰,男,1963年01月,山东利津,,山东省日照市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12197.htm,人民网
﻿齐家滨,男,1967年09月,山东济南,博士,山东省日照市市长,http://ldzl.people.com.cn/dfzlk/front/personPage9936.htm,人民网
﻿王良,男,1964年06月,山东乳山,硕士,山东省莱芜市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4396.htm,人民网
﻿梅建华,男,1964年07月,湖北松滋,硕士,山东省莱芜市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16004.htm,人民网
﻿林峰海,男,1962年07月,山东栖霞,学士,山东省临沂市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4402.htm,人民网
﻿陈勇,男,1960年01月,山东淄博,硕士,山东省德州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage14865.htm,人民网
﻿陈飞,男,1975年01月,山东潍坊,博士,山东省德州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12742.htm,人民网
﻿徐景颜,男,1963年01月,山东寿光,硕士,山东省聊城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4379.htm,人民网
﻿宋军继,男,1965年08月,山东招远,博士,山东省聊城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14900.htm,人民网
﻿张光峰,男,1968年05月,山东平原,研究生,山东省滨州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4404.htm,人民网
﻿崔洪刚,男,1961年05月,山东淄博,研究生,山东省滨州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4405.htm,人民网
﻿解维俊,男,1962年01月,山东淄博,研究生,山东省菏泽市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12164.htm,人民网
﻿谢伏瞻,男,1954年08月,湖北天门,硕士,河南省委书记，省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4927.htm,人民网
﻿叶冬松,男,1958年11月,安徽无为,硕士,河南省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4928.htm,人民网
﻿翁杰明,男,1963年05月,上海,博士,河南省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6394.htm,人民网
﻿赵素萍,女,1958年11月,河北献县,博士,河南省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6215.htm,人民网
﻿任正晓,男,1959年09月,湖南长沙,博士,河南省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16174.htm,人民网
﻿陶明伦,男,1963年05月,河南泌阳,硕士,河南省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4434.htm,人民网
﻿许甘露,男,1962年01月,福建厦门,研究生,河南省委常委、政法委书记，省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage14901.htm,人民网
﻿孔昌生,男,1963年02月,甘肃静宁,硕士,河南省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16486.htm,人民网
﻿马懿,男,1959年04月,河北安国,学士,河南省委常委、郑州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4409.htm,人民网
﻿穆为民,男,1961年11月,河南叶县,研究生,河南省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4432.htm,人民网
﻿王铁,男,1957年10月,河南泌阳,博士,河南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6220.htm,人民网
﻿舒庆,男,1964年10月,山东青州,博士,河南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5009.htm,人民网
﻿徐光,男,1960年06月,湖北当阳,研究生,河南省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4438.htm,人民网
﻿侯红,女,1967年01月,河南社旗,硕士,河南省开封市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12192.htm,人民网
﻿周斌,男,1962年06月,,本科,河南省平顶山市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16422.htm,人民网
﻿王小平,男,1962年11月,河北正定,学士,河南省焦作市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12227.htm,人民网
﻿范修芳,男,1959年07月,河南虞城,研究生,河南省鹤壁市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4419.htm,人民网
﻿张国伟,男,1963年05月,河南西峡,研究生,河南省新乡市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4415.htm,人民网
﻿王登喜,男,1963年06月,,,河南省新乡市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15651.htm,人民网
﻿李公乐,男,1962年03月,河南濮阳,学士,河南省安阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5024.htm,人民网
﻿王新伟,男,1967年08月,河南宝丰县,硕士,河南省安阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15402.htm,人民网
﻿何雄,男,1969年03月,湖北安陆,博士,河南省濮阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4442.htm,人民网
﻿宋殿宇,男,1963年02月,河南正阳,硕士,河南省濮阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16091.htm,人民网
﻿武国定,男,1963年06月,河南舞钢,研究生,河南省许昌市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4441.htm,人民网
﻿胡五岳,,1963年06月,河南伊川,学士,河南省许昌市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15634.htm,人民网
﻿马正跃,男,1958年07月,河南固始,学士,河南省漯河市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4428.htm,人民网
﻿刘南昌,男,,,博士,河南省三门峡市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15976.htm,人民网
﻿安伟,男,1966年05月,河南镇平,博士,河南省三门峡市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15407.htm,人民网
﻿张文深,男,1961年09月,河南许昌,硕士,河南省南阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4417.htm,人民网
﻿霍好胜,男,1963年04月,河南滑县,研究生,河南省南阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15650.htm,人民网
﻿张建慧,,1964年08月,河南嵩县,学士,河南省商丘市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15637.htm,人民网
﻿乔新江,男,1961年10月,河南长葛,硕士,河南省信阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4437.htm,人民网
﻿尚朝阳,男,1963年04月,河南舞阳,研究生,河南省信阳市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15933.htm,人民网
﻿丁福浩,男,1961年11月,河南新密,博士,河南省周口市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16407.htm,人民网
﻿余学友,男,1958年06月,河南光山,研究生,河南省驻马店市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4435.htm,人民网
﻿陈星,男,1965年02月,河南虞城,硕士,河南省驻马店市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12382.htm,人民网
﻿张战伟,男,1963年10月,河南伊川,硕士,河南省济源市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16026.htm,人民网
﻿王晓东,男,1960年01月,江西信丰,研究生,湖北省委副书记、省长、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6241.htm,人民网
﻿张昌尔,男,1956年08月,湖北黄石,博士,湖北省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage6227.htm,人民网
﻿陈一新,男,1959年09月,浙江泰顺,研究生,湖北省委副书记、武汉市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4284.htm,人民网
﻿尔肯江·吐拉洪,男,1964年06月,新疆喀什,硕士,湖北省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage6723.htm,人民网
﻿傅德辉,男,1957年01月,湖北红安,研究生,湖北省委常委、省委秘书长，省人大常委会副主任,http://ldzl.people.com.cn/dfzlk/front/personPage6250.htm,人民网
﻿王艳玲,女,1962年09月,河南内黄,博士,湖北省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage6224.htm,人民网
﻿冯晓林,男,,,,湖北省委常委、省军区政委,http://ldzl.people.com.cn/dfzlk/front/personPage11009.htm,人民网
﻿梁伟年,男,1959年10月,湖北随州,博士,湖北省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage12258.htm,人民网
﻿王立山,男,,,,湖北省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage16609.htm,人民网
﻿周霁,男,1964年05月,湖北襄阳,硕士,湖北省委常委、宜昌市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4450.htm,人民网
﻿曹广晶,男,1964年03月,山东邹平,博士,湖北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6253.htm,人民网
﻿曾欣,男,1966年10月,湖南衡阳,研究生,湖北省副省长、省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage6259.htm,人民网
﻿童道驰,男,1967年10月,湖南平江,博士,湖北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16255.htm,人民网
﻿周先旺,男,1962年11月,湖北建始,本科,湖北省副省长，黄石市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4446.htm,人民网
﻿万勇,男,1960年11月,湖北洪湖,硕士,湖北省武汉市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4456.htm,人民网
﻿李乐成,男,1965年03月,湖北监利,学士,湖北省襄阳市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16530.htm,人民网
﻿张维国,男,1963年10月,湖北黄梅,硕士,湖北省十堰市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4451.htm,人民网
﻿陈新武,男,1968年07月,湖北黄冈,硕士,湖北省十堰市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16416.htm,人民网
﻿李新华,男,1963年04月,湖北仙桃,硕士,湖北省荆州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4452.htm,人民网
﻿杨智,男,1963年11月,四川资阳,博士,湖北省荆州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14853.htm,人民网
﻿马旭明,男,1964年10月,浙江象山,学士,湖北省宜昌市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4455.htm,人民网
﻿张依涛,男,1966年07月,湖北京山,硕士,湖北省荆门市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15681.htm,人民网
﻿李兵,男,1962年02月,湖北浠水,硕士,湖北省鄂州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4458.htm,人民网
﻿陶宏,男,1965年09月,湖北浠水,研究生,湖北省孝感市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4460.htm,人民网
﻿滕刚,男,1970年07月,黑龙江勃利,博士,湖北省孝感市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4461.htm,人民网
﻿刘雪荣,男,1963年09月,湖北天门,硕士,湖北省黄冈市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4462.htm,人民网
﻿肖伏清,男,1961年07月,湖北汉川,硕士,湖北省黄冈市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15670.htm,人民网
﻿王远鹤,男,1963年09月,湖北麻城,,湖北省咸宁市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16269.htm,人民网
﻿郄英才,男,1975年08月,山东青州,硕士,湖北省随州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4467.htm,人民网
﻿李建明,男,1962年05月,湖北武汉,博士,湖北省恩施土家族苗族自治州党委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4453.htm,人民网
﻿刘芳震,男,1962年03月,湖北鹤峰,学士,湖北省恩施土家族苗族自治州州长,http://ldzl.people.com.cn/dfzlk/front/personPage14913.htm,人民网
﻿胡玖明,男,1969年09月,湖北通城,硕士,湖北省仙桃市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage7995.htm,人民网
﻿周文霞,女,1972年05月,湖北京山,研究生,湖北省仙桃市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4471.htm,人民网
﻿吴锦,男,1969年10月,湖北红安,硕士,湖北省天门市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4473.htm,人民网
﻿庄光明,男,1966年04月,湖北当阳,硕士,湖北省天门市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage8408.htm,人民网
﻿黄剑雄,男,1971年07月,福建仙游,博士,湖北省潜江市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4475.htm,人民网
