姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿张瑞书,男,1963年08月,河北献县,本科,河北省秦皇岛市市长,http://ldzl.people.com.cn/dfzlk/front/personPage11004.htm,人民网
﻿高宏志,男,1967年10月,河北正定,硕士,河北省邯郸市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4087.htm,人民网
﻿王立彤,男,1968年12月,安徽巢湖,硕士,河北省邯郸市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage15857.htm,人民网
﻿王会勇,男,1960年03月,河北巨鹿,硕士,河北省邢台市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage11003.htm,人民网
﻿董晓宇,男,1969年01月,河北清苑,研究生,河北省邢台市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15229.htm,人民网
﻿聂瑞平,男,1959年11月,河北献县,硕士,河北省保定市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4091.htm,人民网
﻿郭建英,男,1962年08月,河北深泽,,河北省保定市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16199.htm,人民网
﻿回建,男,1961年07月,河北沧县,博士,河北省张家口市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4088.htm,人民网
﻿武卫东,男,1969年10月,河北平山,硕士,河北省张家口市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16201.htm,人民网
﻿周仲明,男,1963年11月,河北冀州,硕士,河北省承德市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12234.htm,人民网
﻿常丽虹,女,1962年09月,河北清苑,学士,河北省承德市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15381.htm,人民网
﻿杨慧,男,1965年07月,河北康保,博士,河北省沧州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4102.htm,人民网
﻿梅世彤,男,1969年08月,河北元氏,硕士,河北省沧州市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage8158.htm,人民网
﻿冯韶慧,男,1965年09月,河北曲阳,硕士,河北省廊坊市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4100.htm,人民网
﻿陈平,男,1965年04月,河北无极,硕士,河北省廊坊市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15863.htm,人民网
﻿王景武,男,1963年10月,河北柏乡,硕士,河北省衡水市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16498.htm,人民网
﻿骆惠宁,男,1954年10月,浙江义乌,博士,山西省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4968.htm,人民网
﻿楼阳生,男,1959年10月,浙江浦江,硕士,山西省委副书记，省长,http://ldzl.people.com.cn/dfzlk/front/personPage5458.htm,人民网
﻿薛延忠,男,1954年02月,山西孝义,硕士,山西省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4890.htm,人民网
﻿黄晓薇,女,1961年05月,辽宁海城,学士,山西省委副书记、省委政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6332.htm,人民网
﻿高建民,男,1960年11月,山西盂县,博士,山西省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5461.htm,人民网
﻿任建华,男,1957年07月,河南辉县,学士,山西省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16164.htm,人民网
﻿罗清宇,男,1963年10月,山西原平,硕士,山西省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4121.htm,人民网
﻿吴汉圣,男,1963年04月,山东临朐,学士,山西省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5660.htm,人民网
﻿张吉福,男,1964年09月,天津,博士,山西省委常委、大同市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4043.htm,人民网
﻿王清宪,男,1963年07月,河北永年,博士,山西省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4118.htm,人民网
﻿廉毅敏,男,1964年03月,山西平遥,博士,山西省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16223.htm,人民网
﻿郭迎光,男,1958年05月,山西陵川,硕士,山西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5468.htm,人民网
﻿王一新,男,1965年12月,湖北英山,学士,山西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5469.htm,人民网
﻿张复明,男,1963年09月,山西介休,博士,山西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5470.htm,人民网
﻿王赋,男,1962年03月,山西浑源,硕士,山西省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16263.htm,人民网
﻿耿彦波,男,1958年11月,山西和顺,硕士,山西省太原市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4104.htm,人民网
﻿马彦平,男,1965年04月,山西兴县,研究生,山西省大同市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15041.htm,人民网
﻿陈永奇,男,1967年11月,山西怀仁,博士,山西省阳泉市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4108.htm,人民网
﻿董一兵,男,1963年01月,山西闻喜,硕士,山西省阳泉市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15368.htm,人民网
﻿席小军,男,1962年03月,山西蒲县,研究生,山西省长治市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4110.htm,人民网
﻿卢建明,男,1964年09月,山西应县,博士,山西省长治市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15638.htm,人民网
﻿张九萍,女,1963年04月,山西祁县,硕士,山西省晋城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4111.htm,人民网
﻿武宏文,男,1962年08月,山西孝义,专科,山西省晋城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16187.htm,人民网
﻿王安庞,男,1958年05月,山西长子,研究生,山西省朔州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4113.htm,人民网
﻿刘志宏,男,1960年01月,山西晋中,研究生,山西省朔州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15872.htm,人民网
﻿胡玉亭,男,1964年07月,山西五台,硕士,山西省晋中市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4116.htm,人民网
﻿王成,男,1969年06月,山西平鲁,博士,山西省晋中市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15839.htm,人民网
﻿王宇燕,女,1966年05月,河南襄城,博士,山西省运城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4443.htm,人民网
﻿陈振亮,男,1963年08月,山西寿阳,博士,山西省运城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15626.htm,人民网
﻿李俊明,男,1960年04月,山西定襄,硕士,山西省忻州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4106.htm,人民网
﻿郑连生,男,1965年04月,山西潞城,本科,山西省忻州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4120.htm,人民网
﻿岳普煜,男,1959年10月,山西太原,博士,山西省临汾市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4122.htm,人民网
﻿李正印,男,1962年08月,山西武乡,研究生,山西省吕梁市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16226.htm,人民网
﻿王立伟,男,1963年01月,山西定襄,硕士,山西省吕梁市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15387.htm,人民网
﻿李纪恒,男,1957年01月,广西贵港,博士,内蒙古自治区党委书记、自治区人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4956.htm,人民网
﻿布小林,女,1958年08月,内蒙古土左旗,博士,内蒙古自治区党委副书记，自治区政府主席,http://ldzl.people.com.cn/dfzlk/front/personPage5631.htm,人民网
﻿任亚平,男,1952年09月,山西五台,硕士,内蒙古自治区政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4893.htm,人民网
﻿李佳,男,1961年01月,辽宁大连,博士,内蒙古自治区党委副书记、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5471.htm,人民网
﻿张建民,男,1964年09月,河北滦县,博士,内蒙古自治区党委常委、副主席,http://ldzl.people.com.cn/dfzlk/front/personPage6671.htm,人民网
﻿王莉霞,女,1964年06月,辽宁建平,博士,内蒙古自治区党委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6568.htm,人民网
﻿曾一春,男,1961年03月,四川古蔺,学士,内蒙古自治区党委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage15126.htm,人民网
﻿刘奇凡,男,1967年04月,贵州水城,硕士,内蒙古自治区党委常委、自治区纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4708.htm,人民网
﻿张院忠,男,1959年11月,陕西府谷,学士,内蒙古自治区党委常委，包头市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4146.htm,人民网
﻿云光中,男,1960年06月,内蒙古土左旗,硕士,内蒙古自治区党委常委，呼和浩特市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4135.htm,人民网
﻿白玉刚,男,1965年08月,内蒙古达拉特旗,学士,内蒙古自治区党委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4996.htm,人民网
﻿罗永纲,男,1966年09月,山西朔州,硕士,内蒙古自治区党委常委、党委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage15045.htm,人民网
﻿刘新乐,男,1961年11月,内蒙古土左旗,硕士,内蒙古自治区副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5636.htm,人民网
